"date";"from";"text"
"2020-07-26T21:02:45";"Omnipresent";"waar?"
"2020-07-26T21:04:24";"Dutch Patriot Jimmy Hendriks";"Ik ging van Scheveningen naar de de Elandstraat en kwam er best wat tegen. Op verschillende locaties op de route"
"2020-07-26T21:05:06";"Omnipresent";"ja in de stad ook"
"2020-07-26T21:05:49";"Dutch Patriot Jimmy Hendriks";"Scheveningen rijd vol met motoragenten"
"2020-07-26T21:06:35";"Dutch Patriot Jimmy Hendriks";"Er is iets gaande. Die arrestanten bussen rijden er ook niet voor Jan lul. Heel vreemd allemaal"
"2020-07-26T21:06:37";"sir<U+2713>illa<U+2713>illa<U+0001F1F3><U+0001F1F1>";"list(type = ""link"", text = ""https://youtu.be/yOdwFSLoKYk"")"
"2020-07-26T21:06:44";"Omnipresent";"hu?"
"2020-07-26T21:07:19";"Dutch Patriot Jimmy Hendriks";"Boulevard ook vol. Komen uit alle hoeken en gaten"
"2020-07-26T21:07:56";"Omnipresent";"hu?"
"2020-07-26T21:08:00";"Omnipresent";"what the fuck"
"2020-07-26T21:08:19";"Omnipresent";"kan je t zien dan"
"2020-07-26T21:08:24";"Dutch Patriot Jimmy Hendriks";"Ja, zie ik normaal ook nooit zoveel. Ik voel dat er iets is"
"2020-07-26T21:08:31";"Omnipresent";"miss demo"
"2020-07-26T21:09:00";"Dutch Patriot Jimmy Hendriks";"Ik ben op dit moment weer thuis. Had geen zin om aangehouden te worden. Scooter rijd al te hard <U+0001F602>"
"2020-07-26T21:09:48";"Dutch Patriot Jimmy Hendriks";"Woon bij jou om de hoek zowat dan. Woon ook vlakbij de haven. Net boulevard en omgeving veel motoragenten"
"2020-07-26T21:10:05";"Dutch Patriot Jimmy Hendriks";"Busjes ook"
"2020-07-26T21:10:18";"Dutch Patriot Jimmy Hendriks";"Ja er is iets"
"2020-07-26T21:10:34";"Dutch Patriot Jimmy Hendriks";"Op zich niet raar maar die arrestanten bussen erbij is raar"
"2020-07-26T21:11:40";"Dutch Patriot Jimmy Hendriks";"Zag al twee arrestanten bussen op de Schev. Weg"
"2020-07-26T21:11:54";"Dutch Patriot Jimmy Hendriks";"Richting hoofdbureau"
"2020-07-26T21:12:18";"Dutch Patriot Jimmy Hendriks";"Zoutmanstr. en Eland ook"
"2020-07-26T21:13:00";"Dutch Patriot Jimmy Hendriks";"Dat zou kunnen. Maar zullen ze dan zo hard optreden. Alhoewel, het past wel in de dictatuur"
"2020-07-26T21:13:06";"Dutch Patriot Jimmy Hendriks";"Hoor 't ja"
"2020-07-26T21:13:08";"Dutch Patriot Jimmy Hendriks";"Haha"
"2020-07-26T21:13:31";"Dutch Patriot Jimmy Hendriks";"Paar uur terug ook een hele zooi"
"2020-07-26T21:13:51";"Dutch Patriot Jimmy Hendriks";"Goed idee <U+0001F44D><U+0001F44D>"
"2020-07-26T21:22:33";"Omnipresent";"ow"
"2020-07-26T21:27:35";"Dutch Patriot Jimmy Hendriks";"Dat is heel goed mogelijk. Hadden ze vroeger moeten doen, maar ja, toen was geluk nog heel gewoon. En nog geen dictatuur"
"2020-07-26T21:29:58";"Krisso";"De la reyweg reed er een net"
"2020-07-26T21:31:17";"Dutch Patriot Jimmy Hendriks";"Misschien een razzia"
"2020-07-26T21:32:12";"Dutch Patriot Jimmy Hendriks";"Ik zag ze namelijk ook buiten Scheveningen"
"2020-07-26T21:36:11";"Omnipresent";"maak je een grapje?..toen accepteerde de mensen de dictatuur gewoon"
"2020-07-26T21:36:33";"Omnipresent";"meestal geen keus"
"2020-07-26T21:37:11";"Omnipresent";"mn vader was provo..denk dat zulke bewegingen toen een beetje opkwamen..tenminste hier"
"2020-07-26T21:37:23";"Omnipresent";"jaren 60"
"2020-07-26T21:37:34";"Dutch Patriot Jimmy Hendriks";"Nou ja, het is langzaam opgebouwd naar dit en wat gaat komen. Jaren 80 en begin jaren 90 vond ik het redelijk. Groot verschil met nu"
"2020-07-26T21:38:31";"Dutch Patriot Jimmy Hendriks";"Maar sowieso is democratie niet iets wat heeft bestaan. Allemaal schijn"
"2020-07-26T21:38:32";"Omnipresent";"wat er nu is is wel heel eng..ook met computer gekomen..maar ook met ds dat we meer weten ..vroeger wist je alleen wat er in de krant stond..konden ze gewoon hun gang gaan.."
"2020-07-26T21:38:39";"Omnipresent";"mee eens"
"2020-07-26T21:38:51";"Dutch Patriot Jimmy Hendriks";"Het is tegen ziekelijk aan"
"2020-07-26T21:38:55";"Omnipresent";"we zijn al best aan het denken over hoe je dat anders meot doen"
"2020-07-26T21:39:09";"Dutch Patriot Jimmy Hendriks";"Buiten alle proporties"
"2020-07-26T21:39:35";"Omnipresent";"democratie is als iedereen een gelijke stem heeft en je stemt op alle ideeen en voorgestelde wetten en dan iedereen t ermee eens moet zijn anders komt t er niet"
"2020-07-26T21:39:56";"Dutch Patriot Jimmy Hendriks";"Nou en of. Sowieso heb je het volk nodig. Zowel voor hulp met strijden als steun van 't volk"
"2020-07-26T21:40:03";"Omnipresent";"de democratie die er nu is is verkapte dictatuur"
"2020-07-26T21:40:22";"Omnipresent";"ja maar er zou geen volk of elite meer moeten zijn"
"2020-07-26T21:40:29";"Omnipresent";"allemaal mensen"
"2020-07-26T21:40:43";"Omnipresent";"en allemaal self gouvernment"
"2020-07-26T21:40:44";"Dutch Patriot Jimmy Hendriks";"Ja, dan is dat voor mij niks geweest. Zo heb ik het niet ervaren de afgelopen 20 +jaar"
"2020-07-26T21:40:47";"Omnipresent";"tesamen"
"2020-07-26T21:40:55";"Dutch Patriot Jimmy Hendriks";"Ja precies"
"2020-07-26T21:41:10";"Omnipresent";"je kan dit geen democratie noemen"
"2020-07-26T21:41:30";"Dutch Patriot Jimmy Hendriks";"Nee, al jaren niet. Heb veel last gehad van het regime"
"2020-07-26T21:41:40";"Omnipresent";"ja wie niet"
"2020-07-26T21:41:55";"Dutch Patriot Jimmy Hendriks";"Deze strijd gaan we winnen <U+270A><U+0001F1F3><U+0001F1F1>"
"2020-07-26T21:42:00";"Omnipresent";"een kleine minderheid vaart er wel bij de rest bloedt"
"2020-07-26T21:42:15";"Dutch Patriot Jimmy Hendriks";"Dat is 't"
"2020-07-26T21:42:21";"Omnipresent";"als we weten te verbinden en de dualiteid weten te overwinnen die tussen ons is wel"
"2020-07-26T21:43:03";"Omnipresent";"want ze kunnen alleen stand houden als wij niet vanuit eenheidsbewustzijn gaan leven"
"2020-07-26T21:43:12";"Omnipresent";"en vanuit verdeling met elkaar omgaan"
"2020-07-26T21:43:20";"Dutch Patriot Jimmy Hendriks";"Moet lukken. Terug naar de basis, de mens die we horen te zijn. Mensen ontwaken nu al, moet nog meer. Maar het komt, het zal een boomerang zijn"
"2020-07-26T21:43:23";"Omnipresent";"moet je wel weten waar dat zit in jezelf"
"2020-07-26T21:43:37";"Dutch Patriot Jimmy Hendriks";"Ben het er helemaal mee eens"
"2020-07-26T21:43:49";"Omnipresent";"zelfs onder actievoerders is er verdeling"
"2020-07-26T21:43:59";"Omnipresent";"kan anders..ff ego aankijken"
"2020-07-26T21:44:32";"Dutch Patriot Jimmy Hendriks";"Kunnen ook infiltranten zijn die van binnenuit slopen"
"2020-07-26T21:44:45";"Dutch Patriot Jimmy Hendriks";"Mensen tegenover elkaar opzetten"
"2020-07-26T21:45:14";"Krisso";"Misschien zochten ze rutten en de jonge"
"2020-07-26T21:45:16";"Dutch Patriot Jimmy Hendriks";"Ik heb vroeger ook veel demonstraties gedaan. Zo werd het altijd kapot gemaakt"
"2020-07-26T21:45:19";"Krisso";"Rutte*"
"2020-07-26T21:45:28";"Dutch Patriot Jimmy Hendriks";"Mocht eens tijd worden <U+0001F602>"
"2020-07-26T21:46:33";"Omnipresent";"ja"
"2020-07-26T21:46:38";"Omnipresent";"hebben draaiboek he"
"2020-07-26T21:46:50";"Omnipresent";"maar zelf overwinnen in jezelf en dan heeft t geen kans meer"
"2020-07-26T21:50:28";"Dutch Patriot Jimmy Hendriks";"Alles staat en valt met verbinden"
"2020-07-26T21:57:05";"Omnipresent";"ja"
"2020-07-26T21:57:18";"Omnipresent";"verdeel en heers genoeg"
"2020-07-26T22:21:37";"Ingeborg Schultze";"<U+0001F44D>"
"2020-07-26T22:23:34";"Omnipresent";"ik dacht stukje meelopen met zn allen met de fakkeltocht gewoon iedereen in den haag"
"2020-07-26T22:23:40";"Omnipresent";"verbinden dus"
"2020-07-26T22:27:57";"Krisso";"Geen intrrnet maar verbinternet"
"2020-07-26T22:33:58";"Marianne";"<U+0001F602>"
"2020-07-26T23:40:16";"Victor Westerkamp";"Ik kan me die niet herinneren"
"2020-07-26T23:42:10";"Victor Westerkamp";"Morgen dan
 Ik denk dat er een stuk of acht geplakt zijn. Als we met zijn vieren gaan zijn we in vijf minuten klaar."
"2020-07-26T23:47:58";"sir<U+2713>illa<U+2713>illa<U+0001F1F3><U+0001F1F1>";"list(type = ""link"", text = ""https://youtu.be/wegZJI6NvpU"")"
"2020-07-27T00:01:28";"Marianne";"graag eigenlijk, erger me dood aan die kostbare takkestickers.... wat kan je daarmee doen zonder een boete op te lopen..."
"2020-07-27T08:05:27";"Victor Westerkamp";"Je kan erover heen lopen in de voorgeschreven richting"
"2020-07-27T09:08:19";"sir<U+2713>illa<U+2713>illa<U+0001F1F3><U+0001F1F1>";"Môgguhh"
"2020-07-27T09:09:45";"sir<U+2713>illa<U+2713>illa<U+0001F1F3><U+0001F1F1>";"list(type = ""link"", text = ""https://youtu.be/ptGJ8wzeGDE"")"
"2020-07-27T12:10:20";"Dutch Patriot Jimmy Hendriks";"Dit is een ruw idee. Hebben mensen hier vertrouwen in om zoiets uit te printen en bij elke tram en bushalte op te hangen? Of geeft dit andere ideeën?"
"2020-07-27T12:17:42";"Dutch Patriot Jimmy Hendriks";"Dit is vooral bedoeld voor mensen die het echt niet zien. Het aanzetten tot kritisch na te denken"
"2020-07-27T14:26:38";"Janneke Houvanreizen";"GuidingPrinciplesBusinessHR_EN.pdf"
"2020-07-27T14:27:38";"Janneke Houvanreizen";"Humanrights on frequence and ekectromagnetic fields europeguidelines Martin Blank research"
"2020-07-27T14:29:16";"Krisso";"Heb eerder t idee dat die dingen al wat langer aanstaan"
"2020-07-27T14:29:23";"Krisso";"Ipv morgen"
"2020-07-27T14:33:28";"Janneke Houvanreizen";"Klopt denk ik. Volgens zeggen wordt morgen de frequentie opgehoogd en meerdere masten aan. Bij de volgende lockdown weer meer paaltjes en masten"
"2020-07-27T14:36:21";"Patrice";"In laakkwartier zijn de frequencies al wat hoger. Mijn moeders laptop was op 52% toen ze van huis weg ging, toen ze twee uur later terug kwam was die dood. De scherm was dicht, maar alsnog was de batterei helemaal op."
"2020-07-27T14:41:25";"Krisso";"Dat ligt aan de accu, niet de frequentie, kan het weten it'er hier"
"2020-07-27T14:41:37";"Krisso";"Misschien last van n geest :p"
"2020-07-27T14:53:56";"Victor Westerkamp";"Dan moet je met minder stellingen komen, max vijf (ipv tien). Ze zeggen toch allemaal min of meer hetzelfde."
"2020-07-27T14:57:59";"Marianne";"Goedenmiddag allemaal"
"2020-07-27T18:50:39";"Marianne";"Afschuwelijk zeg<U+0001F621>"
"2020-07-27T18:52:05";"Omnipresent";"zucht"
"2020-07-27T18:52:15";"Omnipresent";"gaan gewoon door met die onzin"
"2020-07-27T18:54:47";"Marianne";"Hoi Martijn"
"2020-07-27T18:55:21";"Martijn";"Hi!"
"2020-07-27T19:08:00";"Omnipresent";"<U+0001F44A>"
"2020-07-27T19:12:58";"Marianne";"We Gaan !! Met toestemming"
"2020-07-27T20:16:19";"Krisso";"Geen interesse om samen met die slang op malie te staan."
"2020-07-27T20:23:54";"Noma Nescio";"Wat een ongelofelijk gelul... Ze komen met maskers als dat nep virus alweer weg is... En ze motiveren het met het opgelopen aantal besmettingen (asymptomatisch, dus ook waardeloos) en vergeten dan voor het gemak te vertellen dat ze sinds 1 juli TIEN keer zoveel testen... Als het nog niet duidelijk was dat deze jokers LANDVERRAAD plegen en misdaden tegen het volk dan weet ik het niet meer... Ik denk dat onze volgende stap een openbaar tribunaal moet zijn waar we ze tot levenslang veroordelen...."
"2020-07-27T20:25:35";"Noma Nescio";"Allemaal de fascistische Agenda 21..."
"2020-07-27T21:18:54";"Omnipresent";"list(""RIVM MEDEWERKSTER NEEMT ONTSLAG: “VACCINS PASSEN NIET MEER IN MIJN BEELD VAN HET ‘BEVORDEREN VAN GEZONDHEID’ - TelegramNL Nieuws | De Website Voor Wakker Nederland\n"", list(type = ""link"", text = ""https://www-telegramnl-eu.cdn.ampproject.org/c/s/www.telegramnl.eu/al-het-nieuws/binnenland/rivm/rivm-medewerkster-neemt-ontslag-vaccins-passen-niet-meer-in-mijn-beeld-van-het-bevorderen-van-gezondheid/amp/""), """")"
"2020-07-27T21:49:22";"Marianne";"Welkom Debby :)"
"2020-07-27T21:57:48";"Marianne";"<U+0001F44D><U+0001F3FC>"
"2020-07-27T23:56:18";"Ingeborg Schultze";"<U+0001F44D>"
"2020-07-28T05:56:37";"Omnipresent";"Organization


Wisdom Card



The entire creation is a huge organization. Everything is made up of atoms. The whole world is nothing but organization, where the atoms have decided to organize themselves in a specific pattern to form a particular substance. And those particular patterns bring them specific qualities.
Death/decay/transformation happens when the atoms get bored of patterns and decide to recognise themselves.
e.g. : When the atoms of the apple say ""Enough of being an apple"", that's when the rotting starts. If there is never boredom of patterns, there can be no decay.
The movement from one organized state to another is also organized. This is the transient organization which we call chaos. This transient organization may need a catalyst. Knowledge is such a catalyst.
So, you have absolutely no escape from organisation.


By Sri Sri ravishankar ji"
"2020-07-28T17:57:29";"Omnipresent";"As donderdag wil ik grouphug organiseren in Kijkduin als tegenactie tegen 1,5 m onzin.
Hopelijk krijgt het navolging en wordt het gedeeld op social media. Komen jullie ook?"
"2020-07-28T21:12:26";"Dutch Patriot Jimmy Hendriks";"Als de wet is goedgekeurd zal het komen. Wettelijk gezien kan het nu niet"
"2020-07-28T21:13:20";"Daffy";"Heb net op het nieuws zitten luisteren, en daar werd weer gezegd dat ze het niet gingen verplichten"
"2020-07-28T21:15:00";"Dutch Patriot Jimmy Hendriks";"Ik zal ze niet geloven op hun blauwe oogjes. Als je ze wel vertrouwde dan zat je niet in dit soort groepen <U+0001F609>"
"2020-07-28T21:26:54";"Patrice";"Jimmy Hendriks, je hebt gelijk over de pedofile wereldleiders die ontmaskerd zouden worden. Vooral binnen de Nederlandse politici. Maar 30 juli is de werelddag tegen mensenhandel."
"2020-07-28T21:34:00";"Dutch Patriot Jimmy Hendriks";"Kinderhandel onder pedofielen valt toch ook onder mensenhandel?"
"2020-07-28T21:34:20";"Dutch Patriot Jimmy Hendriks";"Of zie ik dat verkeerd?"
"2020-07-28T21:36:40";"Patrice";"Nee je ziet het goed"
"2020-07-28T21:36:54";"Patrice";"Juist voor de kinderen moeten wij opkomen."
"2020-07-28T21:37:51";"Dutch Patriot Jimmy Hendriks";"Ja, dat is het eerst wat bij me opkwam. Heb ook een dochter, neefjes en nichtjes. Maar ook alle alle kinderen van Nederland en de rest van de wereld. Zij zijn immers de toekomst"
"2020-07-28T21:39:17";"Dutch Patriot Jimmy Hendriks";"En vooral met al die schandalen van nu en de laatste tijden"
"2020-07-28T21:40:12";"Dutch Patriot Jimmy Hendriks";"Ik pak dat er dan uit omdat het iets wat de regering doet laten zweten"
"2020-07-28T21:42:02";"Patrice";"Gelukkig zijn mensen via contact tracing opgepakt wegens pedofile. Omdat de mobiel geregistreerd word zijn mensen zo gepakt. Dus tja toch een beetje goed uit een niet zo'n goede app."
"2020-07-28T21:42:52";"Dutch Patriot Jimmy Hendriks";"Er lopen er nog zoveel rond en vooral bij de overheidsinstellingen. Denk alleen al aan Joris Demmink"
"2020-07-28T21:42:55";"Dutch Patriot Jimmy Hendriks";"Brr"
"2020-07-28T21:43:30";"Dutch Patriot Jimmy Hendriks";"list(type = ""link"", text = ""https://youtu.be/PPJRXwcvyYI"")"
"2020-07-28T21:44:11";"Patrice";"De Nederlandse wetten van de jaren 70 verder laten zien dat er een probleem is."
"2020-07-28T21:44:54";"Dutch Patriot Jimmy Hendriks";"Ons kent ons, onderste steen nooit boven, onder het tapijt en doofpotten"
"2020-07-28T21:45:19";"Dutch Patriot Jimmy Hendriks";"Als je dat aan de mensen duidelijk kan maken dan vallen die vieze pedofiele bij bosjes"
"2020-07-28T21:46:03";"Dutch Patriot Jimmy Hendriks";"Het is schokkend wat nu gaande is"
"2020-07-28T21:46:04";"Patrice";"Één van mijn vriendinnen was als tiener verkracht en omdat ze al twaalf was kon er niet worden gezegt of het consentuel was of niet. Daarvoor zou die man eerst 2 andere dames moeten verkrachten die dan vervolgens ook aangifte zouden doen. Er is geen recht."
"2020-07-28T21:46:54";"Dutch Patriot Jimmy Hendriks";"<U+0001F622> OH oh oh, dat is triest zeg. Ga dan maar je leven op de rit krijgen. Echt heel erg"
"2020-07-28T21:47:11";"Dutch Patriot Jimmy Hendriks";"Dat is Nederland"
"2020-07-28T21:52:10";"Dutch Patriot Jimmy Hendriks";"list(type = ""link"", text = ""https://youtu.be/qABt5YD5J-A"")"
"2020-07-28T21:56:30";"Patrice";"Ja er zijn goede en erge dingen die in ons land gaande zijn. Vandaar dat ik het belangrijk vind om daar verandering in te brengen."
"2020-07-28T22:02:13";"Dutch Patriot Jimmy Hendriks";"Helamaal mee eens <U+0001F64F>"
"2020-07-28T22:02:24";"Dutch Patriot Jimmy Hendriks";"Helemaal *"
"2020-07-28T23:34:11";"Noma Nescio";"list(type = ""link"", text = ""https://twitter.com/RogerBezanis/status/1288111346878255105?s=20"")"
"2020-07-28T23:50:39";"Noma Nescio";"list(type = ""link"", text = ""https://twitter.com/pwafork/status/1287688078094606336?s=20"")"
"2020-07-29T01:06:16";"Marianne";"list(list(type = ""link"", text = ""https://www.facebook.com/groups/765721220857205/""), "" nee tegen de coronamaatregelen (ipv Nee tegen 1,5 meter) Let wel een groep van bijna 172k mensen  is in 1 keer verwijderd. Hernieuw je lidmaatschap daar aub"")"
"2020-07-29T01:06:29";"Marianne";"list(""Hoi "", list(type = ""mention_name"", text = ""Katja Katja"", user_id = 1349772091), ""  welkom :)"")"
"2020-07-29T01:17:19";"Marianne";"<U+0001F601><U+2764><U+FE0F>"
"2020-07-29T04:23:14";"Bastiaan Laersunder©<U+FE0F>";"list(""Zoals velen al merken en zien is er een nieuwe ronde "", list(type = ""bold"", text = ""ONDERMIJNING BURGER OPINIE""), "" gaande.\n\nFB: \n-Nieuwe ronde verwijderen van anti-lockdown, -1.5metr, -noodwet posts en accounts\n\nTwitter: \n- Verwijdering van vele accounts in Q-Anon hoek\n- Fake en/of dubieuze beschuldigingen dat Twitter zelf gehackt zou zijn\n\nMSM: \n- Framing van Protest en vrijdenkers, door ze weg te zetten als complotgekkies en antisemitisme. \n- Het ondermijnen van burgersteun voor elk vorm van protest. \n- Het ondermijnen van de samenwerking behoefte in demoland.  \n\nKeerzijde is dat idd meer theorien worden besproken onderling in protestgroepen wat verwatering van protestdoelen veroorzaakt en de geloofwaardigheid van actievoerders op net spel zet. \n\nProtest Doelen zoals: Geen corona-spoedwet, weg met de nood-verordeningen, Nexit, uit de WHO, herverkiezingen, systeemaanpassing ter bevordering democratie, onafhankelijk onderzoek jeugdzorg, stikstof-dossier, tegen de kaalslag in de landbouw, etc, etc, etc.\n\nDeze doelen raken uit zicht, vooral in de msm."")"
"2020-07-29T04:24:10";"Bastiaan Laersunder©<U+FE0F>";"list(list(type = ""bold"", text = ""Antwoord""), "" op iemand die aanspreekt "", list(type = ""italic"", text = ""op de complot-theorieën""), "" onder "", list(type = ""italic"", text = ""demonstranten""), "":\n\nDemonstranten maken zich diepe en pijnlijke zorgen over wat er gaande is in de maatschappij en in de wereld, de msm is daar mede oorzaak aan. Wij maken ons zoveel zorgen dat we de oorzaken van de maatschappelijke problematiek willen onderzoeken en dat is het stadium van theoretiseren en vrij denken."")"
"2020-07-29T11:21:51";"Dutch Patriot Jimmy Hendriks";"Van YouTube verwijderd"
"2020-07-29T11:43:09";"Janneke Houvanreizen";"list(""Even lezen is van 27 juli aan de overheid vanuit de GGZ. "", list(type = ""link"", text = ""https://brandbriefggz.nl/brandbrief/""))"
